name,time
ins-01,0.03324
ins-02,0.02811
ins-03,0.03770
ins-04,0.11471
ins-05,0.43701
ins-06,0.14656
ins-07,1.33757
ins-08,0.64786
ins-09,1.55110
ins-10,4.68648
ins-11,85.00260
ins-12,0.38435
