,name,time,h,valid,optimal,rotation,sorting,search_goal,search_type
26,ins-27,10.0005,68,True,False,rotation,height,median,board
27,ins-28,10.0007,83,True,False,rotation,height,median,board
28,ins-29,10.0005,79,True,False,rotation,height,median,board
29,ins-30,10.0006,97,True,False,rotation,height,median,board
0,ins-01,0.00049,8,True,True,rotation,height,median,h
1,ins-02,0.00088,9,True,True,rotation,height,median,h
2,ins-03,0.00114,10,True,True,rotation,height,median,h
3,ins-04,0.00239,11,True,True,rotation,height,median,h
4,ins-05,0.00239,12,True,True,rotation,height,median,h
5,ins-06,0.00766,13,True,True,rotation,height,median,h
6,ins-07,0.00357,14,True,True,rotation,height,median,h
7,ins-08,0.01313,15,True,True,rotation,height,median,h
8,ins-09,0.00987,16,True,True,rotation,height,median,h
9,ins-10,0.00502,17,True,True,rotation,height,median,h
10,ins-11,1.7717,18,True,True,rotation,height,median,h
11,ins-12,4.80623,19,True,True,rotation,height,median,h
12,ins-13,0.23751,20,True,True,rotation,height,median,h
13,ins-14,3.95125,21,True,True,rotation,height,median,h
14,ins-15,10.0003,59,True,False,rotation,height,median,h
15,ins-16,10.0003,62,True,False,rotation,height,median,h
16,ins-17,10.0004,66,True,False,rotation,height,median,h
17,ins-18,10.0004,74,True,False,rotation,height,median,h
18,ins-19,10.0004,78,True,False,rotation,height,median,h
19,ins-20,10.0005,29,True,False,rotation,height,median,h
20,ins-21,10.0004,84,True,False,rotation,height,median,h
21,ins-22,10.0005,87,True,False,rotation,height,median,h
22,ins-23,10.0004,32,True,False,rotation,height,median,h
23,ins-24,10.0004,33,True,False,rotation,height,median,h
24,ins-25,10.0006,112,True,False,rotation,height,median,h
25,ins-26,10.0008,69,True,False,rotation,height,median,h
26,ins-27,10.0004,102,True,False,rotation,height,median,h
27,ins-28,10.0005,96,True,False,rotation,height,median,h
28,ins-29,10.0005,37,True,False,rotation,height,median,h
29,ins-30,10.0006,111,True,False,rotation,height,median,h
